OBJECTID *,Latitude,Longitude,SID
1,29.85001,-85.50001,"""XB1"""
2,29.90001,-85.55,"""XB2"""
3,29.95001,-85.60001,"""XB3"""
4,30.10001,-85.8,"""XB4"""
5,30.00001,-85.65,"""XB5"""
6,30.20001,-85.95,"""XB6"""
7,29.97861,-85.6284,"""XB7"""
8,30.03135,-85.68647,"""XB8"""
9,29.88498,-85.4869,"""XB9"""
10,29.9379,-85.52551,"""XB10"""
11,29.9802,-85.5609,"""XB11"""
12,30.01191,-85.59344,"""XB12"""
13,30.0333,-85.61855,"""XB13"""
14,30.0654,-85.65945,"""XB14"""
15,30.1433,-85.76674,"""XB15"""
16,30.08356,-85.64499,"""XB16"""
17,30.07265,-85.62183,"""XB17"""
18,30.03611,-85.56764,"""XB18"""
19,30.02201,-85.55154,"""XB19"""
20,30.06185,-85.74369,"""XB20"""
21,30.09475,-85.71631,"""XB21"""
22,30.10168,-85.71041,"""XB22"""
23,30.07512,-85.65143,"""XB23"""
24,30.04646,-85.60522,"""XB24"""
25,30.02771,-85.57628,"""XB25"""
26,29.99418,-85.54349,"""XB26"""
27,29.96241,-85.50987,"""XB27"""
28,29.94717,-85.426,"""XB28"""
29,29.90965,-85.44629,"""XB29"""
30,30.00315,-85.53171,"""XB30"""
31,30.11953,-85.73208,"""XB31"""
32,30.1081,-85.74722,"""XB32"""
33,30.08607,-85.77143,"""XB33"""
34,30.23537,-85.92824,"""XB34"""
35,30.04839,-85.58026,"""XB35"""
36,30.07779,-85.63271,"""XB36"""
37,29.964052,-85.58102,"""XB37"""
38,29.997825,-85.607355,"""XB38"""
39,30.020312,-85.630714,"""XB39"""
40,30.046879,-85.673226,"""XB40"""
41,30.074599,-85.731091,"""XB41"""
